variables,units,values,description
rotorse.rs.bjs.layer_end_nd,,"[[1.         1.         1.         1.         1.         1.
  1.         1.         1.         1.         1.         1.
  1.         1.         1.         1.         1.         1.
  1.         1.         1.         1.         1.         1.
  1.         1.         1.         1.         1.         1.        ]
 [1.         1.         1.         1.         1.         1.
  1.         1.         1.         1.         1.         1.
  1.         1.         1.         1.         1.         1.
  1.         1.         1.         1.         1.         1.
  1.         1.         1.         1.         1.         1.        ]
 [0.22272986 0.22632952 0.22948212 0.30080193 0.31138242 0.32272784
  0.33028459 0.33580147 0.33842316 0.33783338 0.33690305 0.33920465
  0.34192828 0.35209392 0.36426133 0.36697208 0.37551861 0.38277512
  0.38964944 0.39578046 0.39938987 0.40631466 0.41134025 0.41753853
  0.41993132 0.42260813 0.42604197 0.43129105 0.41509912 0.41037074]
 [0.72273926 0.72686687 0.73692268 0.68392783 0.69466754 0.70325628
  0.71188804 0.71980021 0.72485974 0.72743733 0.7296189  0.72912358
  0.72821111 0.72164078 0.71735939 0.71820211 0.71699693 0.71742121
  0.7190506  0.72270791 0.73058765 0.73735997 0.74903991 0.76192904
  0.77438828 0.79040881 0.81299166 0.84716618 0.86793311 0.91659409]
 [0.19443411 0.19789619 0.1995814  0.20542464 0.21272282 0.2220171
  0.22991051 0.23619816 0.24018571 0.24176774 0.24321802 0.24714692
  0.25147187 0.26147185 0.27052588 0.27388979 0.28019577 0.28503635
  0.289098   0.31451629 0.43989458 0.32075803 0.29305679 0.29210644
  0.29106461 0.28898449 0.28527264 0.2791944  0.27340544 0.24523263]
 [0.69444351 0.69843353 0.70702196 0.71607859 0.72704187 0.73490281
  0.74127057 0.74679934 0.74912851 0.748806   0.74793476 0.74442439
  0.74042431 0.73076654 0.72331437 0.72058973 0.71546943 0.71150765
  0.70813245 0.72863539 0.89430765 0.73279862 0.70762202 0.70993719
  0.71208585 0.71470344 0.71851623 0.72434806 0.72984559 0.75672069]
 [0.51094271 0.51093158 0.51109232 0.51151394 0.51274861 0.51314609
  0.51310658 0.51395159 0.51467968 0.51507905 0.51562235 0.51627311
  0.5168142  0.51755755 0.51862339 0.51906037 0.51995391 0.52094453
  0.52211804 0.52353357 0.52524289 0.52730935 0.52982516 0.53308866
  0.53739617 0.54310325 0.54601304 0.54471542 0.53697711 0.54177825]
 [0.04074588 0.04104707 0.0434308  0.04611344 0.04943663 0.05219928
  0.0544146  0.05602713 0.05743132 0.05810475 0.05834802 0.05906711
  0.05987781 0.06224915 0.06700674 0.06952397 0.07480996 0.07512292
  0.07497596 0.07492002 0.07303854 0.07514177 0.07529579 0.07521149
  0.06994391 0.06972475 0.06954861 0.06934638 0.05948871 0.06887597]
 [1.         1.         1.         1.         1.         1.
  1.         1.         1.         1.         1.         1.
  1.         1.         1.         1.         1.         1.
  1.         1.         1.         1.         1.         1.
  1.         1.         1.         1.         1.         1.        ]
 [0.16613836 0.16946286 0.16968068 0.23759495 0.2439899  0.25193115
  0.25766523 0.26174662 0.2633434  0.26210837 0.26061866 0.2616315
  0.26295985 0.26995749 0.27601474 0.27588271 0.27838647 0.27891556
  0.27802616 0.2750634  0.2679384  0.26207131 0.25166728 0.23859669
  0.22787547 0.21289915 0.19074836 0.15633559 0.13171175 0.08009451]
 [0.48905595 0.48893839 0.48796411 0.48706864 0.48668455 0.48576547
  0.48502104 0.48531088 0.48564258 0.4857924  0.48611936 0.48627169
  0.48627317 0.48579129 0.48449402 0.48383156 0.48238805 0.48077685
  0.47894774 0.47684624 0.47440403 0.47152324 0.46807164 0.4638829
  0.45854522 0.4511866  0.44595877 0.44467843 0.45090274 0.44179699]
 [0.66614777 0.6700002  0.67712123 0.62072086 0.62727502 0.63245959
  0.63926867 0.64574535 0.64977998 0.65171232 0.65333451 0.65155042
  0.64924268 0.63950434 0.6291128  0.62711273 0.61986479 0.61356165
  0.60742732 0.60199085 0.59913618 0.59311662 0.58936694 0.58623052
  0.58444769 0.58188815 0.57826958 0.57270573 0.59175808 0.59684729]
 [0.95925412 0.95895293 0.9565692  0.95388656 0.95056337 0.94780072
  0.9455854  0.94397287 0.94256868 0.94189525 0.94165198 0.94093289
  0.94012219 0.93775085 0.93299326 0.93047603 0.92519004 0.92487708
  0.92502404 0.92507998 0.92696146 0.92485823 0.92470421 0.92478851
  0.93005609 0.93027525 0.93045139 0.93065362 0.94051129 0.93112403]
 [1.         1.         1.         1.         1.         1.
  1.         1.         1.         1.         1.         1.
  1.         1.         1.         0.95       0.95       0.95
  0.95       0.95       0.95       0.95       0.95       0.95
  0.95       0.95       0.95       0.95       0.95       0.95      ]
 [0.         0.         0.         0.         0.         0.
  0.         0.         0.         0.         0.         0.
  0.         0.         0.         0.         0.         0.
  0.         0.         0.         0.         0.         0.
  0.         0.         0.         0.         0.         0.        ]
 [0.         0.         0.         0.         0.         0.
  0.         0.         0.         0.         0.         0.
  0.         0.         0.         0.         0.         0.
  0.         0.         0.         0.         0.         0.
  0.         0.         0.         0.         0.         0.        ]
 [0.         0.         0.         0.         0.         0.
  0.         0.         0.         0.         0.         0.
  0.         0.         0.         0.         0.         0.
  0.         0.         0.         0.         0.         0.
  0.         0.         0.         0.         0.         0.        ]
 [0.         0.         0.         0.         0.         0.
  0.         0.         0.         0.         0.         0.
  0.         0.         0.         0.         0.         0.
  0.         0.         0.         0.         0.         0.
  0.         0.         0.         0.         0.         0.        ]
 [0.         0.         0.         0.         0.         0.
  0.         0.         0.         0.         0.         0.
  0.         0.         0.         0.         0.         0.
  0.         0.         0.         0.         0.         0.
  0.         0.         0.         0.         0.         0.        ]
 [0.         0.         0.         0.         0.         0.
  0.         0.         0.         0.         0.         0.
  0.         0.         0.         0.         0.         0.
  0.         0.         0.         0.         0.         0.
  0.         0.         0.         0.         0.         0.        ]]","2D array of the non-dimensional end point defined along the outer profile of a layer. The TE suction side is 0, the TE pressure side is 1. The first dimension represents each layer, the second dimension represents each entry along blade span."
rotorse.rs.bjs.blade_length,m,"[  3.           6.44228387   9.88456774  13.32685161  16.76913548
  20.21141935  23.65370322  27.09598709  30.53827096  33.98055483
  37.4228387   40.86512257  44.30740645  47.74969032  52.91311612
  54.63425806  58.07654193  61.5188258   64.96110967  68.40339354
  71.84567741  75.28796128  78.73024515  82.17252902  85.61481289
  89.05709676  92.49938063  95.9416645   97.83492063 102.82623224]",1D array of cumulative blade length at each station. n_span long
rotorse.rs.bjs.coord_xy_interp,,"[[[ 1.00000000e+00 -5.22802288e-16]
  [ 9.99429684e-01 -2.22597407e-02]
  [ 9.98063018e-01 -4.44580349e-02]
  ...
  [ 9.98120489e-01  4.38394581e-02]
  [ 9.99443038e-01  2.19496514e-02]
  [ 1.00000000e+00 -5.26271735e-16]]

 [[ 1.00000000e+00 -4.63811846e-04]
  [ 9.98467173e-01 -2.21760738e-02]
  [ 9.96201019e-01 -4.43513952e-02]
  ...
  [ 9.96776877e-01  4.39179785e-02]
  [ 9.98774657e-01  2.22119245e-02]
  [ 1.00000000e+00  3.03878429e-04]]

 [[ 1.00000000e+00 -3.84926541e-03]
  [ 9.90631439e-01 -2.12435866e-02]
  [ 9.80995553e-01 -4.24457781e-02]
  ...
  [ 9.85613808e-01  4.43560536e-02]
  [ 9.93218520e-01  2.41263074e-02]
  [ 1.00000000e+00  2.83048459e-03]]

 ...

 [[ 1.00000000e+00  2.99243424e-04]
  [ 9.76715850e-01  2.78508494e-03]
  [ 9.52832571e-01  4.62553820e-03]
  ...
  [ 9.52575171e-01  9.64309571e-03]
  [ 9.76267770e-01  4.94496385e-03]
  [ 1.00000000e+00  2.99243424e-04]]

 [[ 1.00000000e+00  1.59576514e-04]
  [ 9.76700964e-01  2.86385003e-03]
  [ 9.52886173e-01  4.80915517e-03]
  ...
  [ 9.52680732e-01  1.01497273e-02]
  [ 9.76327058e-01  5.14403817e-03]
  [ 1.00000000e+00  1.59576514e-04]]

 [[ 1.00000000e+00  1.76276899e-06]
  [ 9.76685164e-01  3.14692752e-03]
  [ 9.53182640e-01  5.22846152e-03]
  ...
  [ 9.52998460e-01  1.22336784e-02]
  [ 9.76506117e-01  6.17134718e-03]
  [ 1.00000000e+00  1.76276899e-06]]]",3D array of the non-dimensional x and y airfoil coordinates of the airfoils interpolated along span for n_span stations.
rotorse.rs.bjs.rthick,,"[1.         0.9904762  0.90583552 0.76920637 0.62433185 0.51495506
 0.45652477 0.40898037 0.37373472 0.35299758 0.33854388 0.32716954
 0.31781339 0.30941425 0.29659297 0.29250549 0.28490061 0.27785301
 0.27111927 0.26445597 0.25761968 0.250367   0.2424545  0.23345852
 0.22353126 0.21373557 0.20477992 0.19617537 0.19158286 0.18      ]",1D array of the relative thicknesses of the blade defined along span. n_span long
rotorse.rs.bjs.layer_offset_y_pa,m,"[[ 0.          0.          0.          0.          0.          0.
   0.          0.          0.          0.          0.          0.
   0.          0.          0.          0.          0.          0.
   0.          0.          0.          0.          0.          0.
   0.          0.          0.          0.          0.          0.        ]
 [ 0.          0.          0.          0.          0.          0.
   0.          0.          0.          0.          0.          0.
   0.          0.          0.          0.          0.          0.
   0.          0.          0.          0.          0.          0.
   0.          0.          0.          0.          0.          0.        ]
 [ 0.          0.          0.         -0.8        -0.768      -0.736
  -0.704      -0.672      -0.64       -0.608      -0.576      -0.544
  -0.512      -0.48       -0.448      -0.416      -0.384      -0.352
  -0.32       -0.288      -0.2464     -0.224      -0.192      -0.16
  -0.128      -0.096      -0.064      -0.032       0.          0.        ]
 [ 0.          0.          0.         -0.8        -0.768      -0.736
  -0.704      -0.672      -0.64       -0.608      -0.576      -0.544
  -0.512      -0.48       -0.448      -0.416      -0.384      -0.352
  -0.32       -0.288      -0.2464     -0.224      -0.192      -0.16
  -0.128      -0.096      -0.064      -0.032       0.          0.        ]
 [ 0.          0.          0.          0.          0.          0.
   0.          0.          0.          0.          0.          0.
   0.          0.          0.          0.          0.          0.
   0.          0.          0.12649122  0.          0.          0.
   0.          0.          0.          0.          0.          0.        ]
 [ 0.          0.          0.          0.          0.          0.
   0.          0.          0.          0.          0.          0.
   0.          0.          0.          0.          0.          0.
   0.          0.          0.12649122  0.          0.          0.
   0.          0.          0.          0.          0.          0.        ]
 [ 0.          0.          0.          0.          0.          0.
   0.          0.          0.          0.          0.          0.
   0.          0.          0.          0.          0.          0.
   0.          0.          0.          0.          0.          0.
   0.          0.          0.          0.          0.          0.        ]
 [ 0.          0.          0.          0.          0.          0.
   0.          0.          0.          0.          0.          0.
   0.          0.          0.          0.          0.          0.
   0.          0.          0.          0.          0.          0.
   0.          0.          0.          0.          0.          0.        ]
 [ 0.          0.          0.          0.          0.          0.
   0.          0.          0.          0.          0.          0.
   0.          0.          0.          0.          0.          0.
   0.          0.          0.          0.          0.          0.
   0.          0.          0.          0.          0.          0.        ]
 [ 0.          0.          0.          0.          0.          0.
   0.          0.          0.          0.          0.          0.
   0.          0.          0.          0.          0.          0.
   0.          0.          0.          0.          0.          0.
   0.          0.          0.          0.          0.          0.        ]
 [ 0.          0.          0.          0.          0.          0.
   0.          0.          0.          0.          0.          0.
   0.          0.          0.          0.          0.          0.
   0.          0.          0.          0.          0.          0.
   0.          0.          0.          0.          0.          0.        ]
 [ 0.          0.          0.          0.          0.          0.
   0.          0.          0.          0.          0.          0.
   0.          0.          0.          0.          0.          0.
   0.          0.          0.          0.          0.          0.
   0.          0.          0.          0.          0.          0.        ]
 [ 0.          0.          0.          0.          0.          0.
   0.          0.          0.          0.          0.          0.
   0.          0.          0.          0.          0.          0.
   0.          0.          0.          0.          0.          0.
   0.          0.          0.          0.          0.          0.        ]
 [ 0.          0.          0.          0.          0.          0.
   0.          0.          0.          0.          0.          0.
   0.          0.          0.          0.          0.          0.
   0.          0.          0.          0.          0.          0.
   0.          0.          0.          0.          0.          0.        ]
 [ 0.          0.          0.          0.          0.          0.
   0.          0.          0.          0.          0.          0.
   0.          0.          0.          0.          0.          0.
   0.          0.          0.          0.          0.          0.
   0.          0.          0.          0.          0.          0.        ]
 [ 0.          0.          0.          0.          0.          0.
   0.          0.          0.          0.          0.          0.
   0.          0.          0.          0.          0.          0.
   0.          0.          0.          0.          0.          0.
   0.          0.          0.          0.          0.          0.        ]
 [ 0.          0.          0.          0.          0.          0.
   0.          0.          0.          0.          0.          0.
   0.          0.          0.          0.          0.          0.
   0.          0.          0.          0.          0.          0.
   0.          0.          0.          0.          0.          0.        ]
 [ 0.          0.          0.          0.          0.          0.
   0.          0.          0.          0.          0.          0.
   0.          0.          0.          0.          0.          0.
   0.          0.          0.          0.          0.          0.
   0.          0.          0.          0.          0.          0.        ]
 [ 0.          0.          0.          0.          0.          0.
   0.          0.          0.          0.          0.          0.
   0.          0.          0.          0.          0.          0.
   0.          0.          0.          0.          0.          0.
   0.          0.          0.          0.          0.          0.        ]
 [ 0.          0.          0.          0.          0.          0.
   0.          0.          0.          0.          0.          0.
   0.          0.          0.          0.          0.          0.
   0.          0.          0.          0.          0.          0.
   0.          0.          0.          0.          0.          0.        ]]","2D array of the offset along the y axis to set the position of a layer. Positive values move the layer towards the trailing edge, negative values towards the leading edge. The first dimension represents each layer, the second dimension represents each entry along blade span."
rotorse.rs.bjs.coord_xy_dim,m,"[[[ 2.25000000e+00 -2.35261029e-15]
  [ 2.24743358e+00 -1.00168833e-01]
  [ 2.24128358e+00 -2.00061157e-01]
  ...
  [ 2.24154220e+00  1.97277562e-01]
  [ 2.24749367e+00  9.87734313e-02]
  [ 2.25000000e+00 -2.36822281e-15]]

 [[ 2.26653457e+00 -2.09482223e-03]
  [ 2.25961150e+00 -1.00159004e-01]
  [ 2.24937634e+00 -2.00314609e-01]
  ...
  [ 2.25197722e+00  1.98357067e-01]
  [ 2.26100026e+00  1.00320925e-01]
  [ 2.26653457e+00  1.37247743e-03]]

 [[ 2.34255457e+00 -1.76779614e-02]
  [ 2.29952894e+00 -9.75623303e-02]
  [ 2.25527561e+00 -1.94934552e-01]
  ...
  [ 2.27648519e+00  2.03707596e-01]
  [ 2.31141025e+00  1.10801383e-01]
  [ 2.34255457e+00  1.29991549e-02]]

 ...

 [[ 6.08030135e-01  3.20341427e-04]
  [ 5.83104348e-01  2.98144592e-03]
  [ 5.57537191e-01  4.95165937e-03]
  ...
  [ 5.57261644e-01  1.03229772e-02]
  [ 5.82624676e-01  5.29360597e-03]
  [ 6.08030135e-01  3.20341427e-04]]

 [[ 5.09595628e-01  1.46172551e-04]
  [ 4.88253643e-01  2.62329494e-03]
  [ 4.66439226e-01  4.40520010e-03]
  ...
  [ 4.66251041e-01  9.29717968e-03]
  [ 4.87911145e-01  4.71195390e-03]
  [ 5.09595628e-01  1.46172551e-04]]

 [[ 2.50000000e-01  8.81384494e-07]
  [ 2.38342582e-01  1.57346376e-03]
  [ 2.26591320e-01  2.61423076e-03]
  ...
  [ 2.26499230e-01  6.11683918e-03]
  [ 2.38253059e-01  3.08567359e-03]
  [ 2.50000000e-01  8.81384494e-07]]]",3D array of the dimensional x and y airfoil coordinates of the airfoils interpolated along span for n_span stations. The origin is placed at the pitch axis.
rotorse.rs.bjs.twist,rad,"[ 0.3491      0.32625117  0.30085553  0.27319561  0.24355395  0.2057759
  0.15761451  0.11369865  0.08888556  0.08740227  0.08747036  0.08755246
  0.08760935  0.08649735  0.07584682  0.07090719  0.06112253  0.05334186
  0.04683973  0.04037517  0.03298558  0.02356245  0.0096627  -0.00714598
 -0.02406408 -0.03833817 -0.05056212 -0.06194147 -0.0677966  -0.08166095]",1D array of the twist values defined along blade span. The twist is defined positive for negative rotations around the z axis (the same as in BeamDyn).
rotorse.rs.bjs.pitch_axis,,"[0.5        0.49816955 0.48992341 0.47666778 0.47368421 0.47368421
 0.47368421 0.47368421 0.47368421 0.47368421 0.47368421 0.46808511
 0.4612069  0.44196429 0.4267379  0.42095775 0.41010371 0.40195138
 0.39522149 0.39116278 0.3905275  0.39134099 0.39523274 0.40007425
 0.40504215 0.41113787 0.41946139 0.43201533 0.44367466 0.5       ]","1D array of the chordwise position of the pitch axis (0-LE, 1-TE), defined along blade span."
rotorse.rs.bjs.M1,N*m,"[-3.52706506e+07 -3.31302705e+07 -2.97545406e+07 -3.28835375e+07
 -3.23386450e+07 -3.12283708e+07 -3.02515500e+07 -2.89542619e+07
 -2.69838557e+07 -2.45287373e+07 -2.20090037e+07 -1.95767345e+07
 -1.72515889e+07 -1.50517847e+07 -1.20250874e+07 -1.10897117e+07
 -9.32862440e+06 -7.72561942e+06 -6.28675600e+06 -5.01369790e+06
 -3.90958166e+06 -2.95763474e+06 -2.13854995e+06 -1.46984873e+06
 -9.45489487e+05 -5.55142071e+05 -2.82887766e+05 -1.11270993e+05
 -5.21898406e+04  2.35544109e+01]",distribution along blade span of ultimate bending moment w.r.t principal axis 1. [(n_mat) 1D array of float]
rotorse.rs.bjs.M2,N*m,"[ 3.57615511e+07  3.36730331e+07  3.27788315e+07  2.50293982e+07
  2.07325388e+07  1.69748153e+07  1.24753570e+07  7.68250308e+06
  3.82366897e+06  2.16533855e+06  1.74985480e+06  1.42559405e+06
  1.13625479e+06  8.57769512e+05  4.06457258e+05  8.74192200e+04
 -1.08795944e+05 -2.83302802e+05 -3.53656713e+05 -3.74099294e+05
 -3.58573461e+05 -3.44402769e+05 -3.29819341e+05 -2.93636352e+05
 -2.35123174e+05 -1.61380932e+05 -9.11920500e+04 -3.87161296e+04
 -1.96002206e+04  1.02668721e+00]",distribution along blade span of ultimate bending moment w.r.t principal axis 2. [(n_mat) 1D array of float]
rotorse.rs.bjs.F2,N,"[623399.37186894 621292.68022797 595029.42844126 694937.92013779
 726705.38265718 747801.25521623 774141.47101785 794016.0939832
 795145.80917361 780552.47055909 759073.66107037 732891.6995086
 701267.04003987 663928.70929596 599182.51711134 578193.76025049
 530140.00112233 481501.85919565 432167.4281631  382477.63032401
 327252.28354817 272341.37922778 228833.10995466 182709.25991343
 139958.1739057  101830.86494463  68401.81127123  39713.59049179
  26696.72897864  -1189.40324946]",distribution along blade span of ultimate force w.r.t principal axis 2. [(n_mat) 1D array of float]
rotorse.rs.bjs.a,,[0.1965],
rotorse.rs.bjs.b,,[0.],
rotorse.rs.bjs.c,,[0.6448],
rotorse.rs.bjs.itermax,,[20.],max # calculation iterations. [int]
rotorse.rs.bjs.discrete,,[0.],whether discrete calculation is allowed. Set to False if in optimization loop. [bool]
rotorse.rs.bjs.blade_mass_re,kg,[50569.14796865],blade mass
rotorse.rs.bjs.joint_nonmaterial_cost,USD,[50000.],"Non-material joint cost (mfg, assembly, transportation)."
rotorse.rs.bjs.name_mat,Unavailable,"['Gelcoat', 'Adhesive', 'glass_uni', 'carbon_uni_industry_baseline', 'glass_biax', 'glass_triax', 'medium_density_foam', 'resin', 'steel', 'joint_insert']",list of material names. [(n_mat) list of str]
rotorse.rs.bjs.joint_bolt,Unavailable,M36,Type of bolt used in joint
rotorse.rs.bjs.reinforcement_layer_ss,Unavailable,joint_reinf_ss,"Layer identifier for the reinforcement layer at the join where bolts are inserted, suction side"
rotorse.rs.bjs.reinforcement_layer_ps,Unavailable,joint_reinf_ps,"Layer identifier for the reinforcement layer at the join where bolts are inserted, pressure side"
rotorse.rs.bjs.layer_side,Unavailable,"['', '', 'suction', 'pressure', 'suction', 'pressure', '', '', '', '', '', '', '', '', '', '', '', '', '', '']",1D array setting whether the layer is on the suction or pressure side. This entry is only used if definition_layer is equal to 1 or 2.
rotorse.split.blade_length,m,[100.00570981],blade length
rotorse.split.s,,"[0.         0.03448276 0.06896552 0.10344828 0.13793103 0.17241379
 0.20689655 0.24137931 0.27586207 0.31034483 0.34482759 0.37931034
 0.4137931  0.44827586 0.5        0.51724138 0.55172414 0.5862069
 0.62068966 0.65517241 0.68965517 0.72413793 0.75862069 0.79310345
 0.82758621 0.86206897 0.89655172 0.93103448 0.95       1.        ]",blade nondimensional span location
rotorse.split.chord,m,"[4.5        4.51653455 4.59255455 4.72026865 4.75       4.75
 4.75       4.75       4.75       4.75       4.75       4.7
 4.64       4.48       4.19455297 4.07109567 3.83078655 3.59377787
 3.3535724  3.10972681 2.86394905 2.61780457 2.37255549 2.12536608
 1.87360817 1.6133977  1.34551447 1.07050448 0.9160029  0.5       ]",Chord distribution
rotorse.split.coord_xy_interp,,"[[[ 1.00000000e+00 -5.22802288e-16]
  [ 9.99429684e-01 -2.22597407e-02]
  [ 9.98063018e-01 -4.44580349e-02]
  ...
  [ 9.98120489e-01  4.38394581e-02]
  [ 9.99443038e-01  2.19496514e-02]
  [ 1.00000000e+00 -5.26271735e-16]]

 [[ 1.00000000e+00 -4.63811846e-04]
  [ 9.98467173e-01 -2.21760738e-02]
  [ 9.96201019e-01 -4.43513952e-02]
  ...
  [ 9.96776877e-01  4.39179785e-02]
  [ 9.98774657e-01  2.22119245e-02]
  [ 1.00000000e+00  3.03878429e-04]]

 [[ 1.00000000e+00 -3.84926541e-03]
  [ 9.90631439e-01 -2.12435866e-02]
  [ 9.80995553e-01 -4.24457781e-02]
  ...
  [ 9.85613808e-01  4.43560536e-02]
  [ 9.93218520e-01  2.41263074e-02]
  [ 1.00000000e+00  2.83048459e-03]]

 ...

 [[ 1.00000000e+00  2.99243424e-04]
  [ 9.76715850e-01  2.78508494e-03]
  [ 9.52832571e-01  4.62553820e-03]
  ...
  [ 9.52575171e-01  9.64309571e-03]
  [ 9.76267770e-01  4.94496385e-03]
  [ 1.00000000e+00  2.99243424e-04]]

 [[ 1.00000000e+00  1.59576514e-04]
  [ 9.76700964e-01  2.86385003e-03]
  [ 9.52886173e-01  4.80915517e-03]
  ...
  [ 9.52680732e-01  1.01497273e-02]
  [ 9.76327058e-01  5.14403817e-03]
  [ 1.00000000e+00  1.59576514e-04]]

 [[ 1.00000000e+00  1.76276899e-06]
  [ 9.76685164e-01  3.14692752e-03]
  [ 9.53182640e-01  5.22846152e-03]
  ...
  [ 9.52998460e-01  1.22336784e-02]
  [ 9.76506117e-01  6.17134718e-03]
  [ 1.00000000e+00  1.76276899e-06]]]",3D array of the non-dimensional x and y airfoil coordinates of the airfoils interpolated along span for n_span stations.
rotorse.split.web_start_nd,,"[[0.19443411 0.19789619 0.1995814  0.29869742 0.30770936 0.31795227
  0.3244892  0.32905563 0.33094151 0.32971052 0.32814561 0.32971718
  0.3316777  0.34083644 0.35154628 0.35316299 0.36009727 0.365533
  0.37030433 0.37395917 0.37430137 0.3780177  0.37875349 0.37961998
  0.38107639 0.38260736 0.38425915 0.3868056  0.37930969 0.24523263]
 [0.19443411 0.19789619 0.1995814  0.24103292 0.2485064  0.25730412
  0.26380133 0.26855762 0.27072856 0.27009491 0.26922324 0.27098351
  0.27309621 0.28117817 0.28876187 0.28972295 0.29388268 0.29627072
  0.29751636 0.29704199 0.29312728 0.29043997 0.28418252 0.27622543
  0.26613232 0.25185412 0.23081393 0.19832712 0.16468399 0.24523263]]","2D array of the non-dimensional start point defined along the outer profile of a web. The TE suction side is 0, the TE pressure side is 1. The first dimension represents each web, the second dimension represents each entry along blade span."
rotorse.split.web_end_nd,,"[[0.69444351 0.69843353 0.70702196 0.62303187 0.63162703 0.63790618
  0.6453805  0.65245395 0.65707095 0.65958065 0.66181913 0.66079048
  0.65927436 0.65064913 0.64184017 0.64094777 0.63537736 0.63093805
  0.62693779 0.62398853 0.62436929 0.62154113 0.62201216 0.6225042
  0.62213855 0.62109589 0.61946308 0.61657817 0.62397876 0.75672069]
 [0.69444351 0.69843353 0.70702196 0.68025763 0.69005751 0.69815143
  0.70618073 0.71353678 0.71799333 0.71997151 0.72150492 0.72022406
  0.71849541 0.71079135 0.70489125 0.70461256 0.70168909 0.70021594
  0.69968012 0.7008274  0.70547364 0.70902157 0.71645889 0.72568032
  0.73667306 0.75113029 0.77165019 0.80304542 0.83575862 0.75672069]]","2D array of the non-dimensional end point defined along the outer profile of a web. The TE suction side is 0, the TE pressure side is 1. The first dimension represents each web, the second dimension represents each entry along blade span."
